field	baseline_enumeration	enumeration_description
in.county	G3200090	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3200110	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3200130	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3200150	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3200170	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3200190	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3200210	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3200230	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3200270	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3200290	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3200310	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3200330	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3205100	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3300010	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3300030	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3300050	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3300070	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3300090	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3300110	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3300130	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3300150	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3300170	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3300190	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3400010	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3400030	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3400050	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3400070	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3400090	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3400110	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3400130	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3400150	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3400170	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3400190	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3400210	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3400230	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3400250	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3400270	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3400290	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3400310	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3400330	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3400350	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3400370	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3400390	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3400410	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500010	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500030	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500050	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500060	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500070	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500090	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500110	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500130	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500150	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500170	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500190	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500210	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500230	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500250	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500270	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500280	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500290	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500310	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500330	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500350	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500370	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500390	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500410	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500430	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500450	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500470	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500490	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500510	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500530	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500550	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500570	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500590	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3500610	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600010	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600030	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600050	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600070	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600090	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600110	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600130	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600150	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600170	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600190	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600210	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600230	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600250	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600270	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600290	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600310	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600330	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600350	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600370	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600390	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600410	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600430	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600450	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600470	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600490	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600510	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600530	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600550	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600570	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600590	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600610	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600630	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600650	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600670	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600690	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600710	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600730	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600750	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600770	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600790	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3600810	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
